Número do Documento;Nome da conta;Tipo;Grupo Econômico: Grupo Econômico;RET;Data de Inclusão;Marca;Representante;Situação;Setor;País de entrega;ICMS;Limite de Crédito Moeda;Limite de Crédito;Ramo de Atividade;Segmento;Situação Financeira;Código Externo
04.917.296/0001-60;AVIL TêXTIL LTDA;Cliente MI;AVIL TEXTIL LTDA;0;29/08/2008;AVIL TEXTIL LTDA;LV TEXTIL REPRESENTAÇÕES E COMERCIO LTDA;Inativo;Varejo;BRASIL;7;BRL;120000;;;Liberado;C5197
14.933.048/0006-71;PEREIRA & FONSECA LTDA;Cliente MI;PEREIRA & FONSECA LTDA;0;01/01/1990;PEREIRA & FONSEC;LV TEXTIL REPRESENTAÇÕES E COMERCIO LTDA;Inativo;Varejo;BRASIL;7;BRL;60000;;;Liberado;C36515
00.994.734/0001-33;CHAINY CONFEC E COM LTDA EPP;Cliente MI;DAM CONFECÇÕES IND. E COM. LTDA;0;12/09/2018;CHAINY CONFECCOES;LV TEXTIL REPRESENTAÇÕES E COMERCIO LTDA;Inativo;Vestuário;BRASIL;7;BRL;0;;;Liberado;C17501
30.895.201/0001-65;R C DE ARAUJO NETO;Cliente MI;AMMY IND DE CONFEC EIRELI;0;20/08/2018;UNIFARDAS;LV TEXTIL REPRESENTAÇÕES E COMERCIO LTDA;Inativo;Vestuário;BRASIL;7;BRL;0;;;Liberado;C17414
32.634.593/0001-34;NAYANA BRUSCHI INFANTE;Cliente MI;UNIDADE CAMISARIA;0;03/06/2019;UNIDADE CAMISARIA;LV TEXTIL REPRESENTAÇÕES E COMERCIO LTDA;Inativo;;BRASIL;7;BRL;0;;;Liberado;C18163
24.118.149/0001-38;OFICINA DE PANO LTDA ME;Cliente MI;OFICINA DE PANO LTDA ME;0;29/05/2019;OFICINA DE PANO;LV TEXTIL REPRESENTAÇÕES E COMERCIO LTDA;Inativo;;BRASIL;7;BRL;0;;;Liberado;C18158
09.200.769/0001-28;GRAFICA FENIX MACEIO LTDA ME;Cliente MI;GRAFICA FENIX MACEIO LTDA ME;0;29/05/2019;CAMISETAS FX;LV TEXTIL REPRESENTAÇÕES E COMERCIO LTDA;Inativo;;BRASIL;7;BRL;0;;;Liberado;C18155
07.659.290/0002-00;BETEL CONFECCOES LTDA;Cliente MI;BETEL CONFECCOES LTDA;0;27/06/2019;BETEL FARDAS;LV TEXTIL REPRESENTAÇÕES E COMERCIO LTDA;Inativo;;BRASIL;7;BRL;40000;;;Liberado;C18229
29.060.733/0001-01;CARLA E CLAUDIA COM DE CON E ACESS;Cliente MI;BORIAN;0;14/08/2019;BORIAN TORRE;LV TEXTIL REPRESENTAÇÕES E COMERCIO LTDA;Inativo;;BRASIL;7;BRL;20000;;;Liberado;C18343
20.248.988/0001-10;THALLES DE OLIVEIRA REIS AT DE COST;Cliente MI;THALLES DE OLIVEIRA REIS ATELIE DE COSTURA;0;25/03/2022;ALFAIATARIA COTOVIA;SHEILA DE KASSIA FERREIRA;Ativo;;BRASIL;12;BRL;5000;;;Liberado;C20966
19.662.502/0001-06;UNIVMODA LTDA;Cliente MI;UNIVMODA LTDA;0;25/01/2024;UNIVMODA;SHEILA DE KASSIA FERREIRA;Inativo;;BRASIL;12;BRL;0;;;Liberado;C23813
09.534.200/0001-07;F&G CONFECÇÕES LTDA;Cliente MI;F&G CONFECÇÕES LTDA;0;26/02/2024;FABRICA DE SONHOS;SHEILA DE KASSIA FERREIRA;Ativo;;BRASIL;12;BRL;5000;;;Liberado;C24008
00.883.814/0001-11;RANNA IND E COM DE CONF E IMP LTDA;Cliente MI;RANNA INDUSTRIAL E COMERCIAL DE CONFECÇÕES E IMPRESSOS LTDA;0;16/02/2024;SOFT MALHAS;SHEILA DE KASSIA FERREIRA;Inativo;;BRASIL;7;BRL;25000;;;Liberado;C23950
15.497.312/0001-20;NINANE COM DE PROD DECORAÇÃO LTDA;Cliente MI;NINANE;0;08/04/2024;NINANE COMERCIO DE PRODUTOS PARA DECORAÇÃO;SHEILA DE KASSIA FERREIRA;Ativo;;BRASIL;12;BRL;5000;;;Liberado;C24208
49.494.557/0001-15;CASA MAGNOLIA ENXOVAIS LTDA;Cliente MI;49.494.557 ROSIMEIRE PIEROBON;0;03/05/2024;CASA MAGNOLIA;SHEILA DE KASSIA FERREIRA;Ativo;Vestuário;BRASIL;12;BRL;0;Marca;Masculino;Liberado;C24332
53.179.848/0001-96;LAZU FRAGRANCE & COSMETICS LTDA;Cliente MI;LAZU FRAGRANCE & COSMETICS LTDA;0;26/04/2024;LAZU FRAGRANCE & COSMETICS;SHEILA DE KASSIA FERREIRA;Ativo;;BRASIL;12;BRL;0;;;Liberado;C24294
44.664.830/0001-99;MATI COM VAREJ DE ROU E ACES LTDA;Cliente MI;MATI;0;18/04/2024;.;SHEILA DE KASSIA FERREIRA;Ativo;;BRASIL;12;BRL;5000;;;Liberado;C24257
40.837.149/0001-44;40.837.149 HA YOUNG YANG;Cliente MI;40.837.149 HA YOUNG YANG;0;05/06/2024;.;SHEILA DE KASSIA FERREIRA;Ativo;;BRASIL;12;BRL;1000;;;Liberado;C24471
05.669.664/0002-42;FLAVORS COM, IMP E EXPORTADORA LTDA;Cliente MI;FLAVORS COMERCIAL, IMPORTADORA E EXPORTADORA LTDA;0;24/05/2024;.;SHEILA DE KASSIA FERREIRA;Ativo;;BRASIL;12;BRL;5000;;;Liberado;C24431
50.947.903/0001-52;50.947.903 JOAO PEDRO A DE MEDEIROS;Cliente MI;50.947.903 JOAO PEDRO ARAUJO DE MEDEIROS;0;20/05/2024;.;SHEILA DE KASSIA FERREIRA;Ativo;;BRASIL;12;BRL;0;;;Liberado;C24400
07.847.079/0001-30;RC IND E COM DO VESTUARIO LTDA;Cliente MI;LA JINETEADA;0;02/09/2019;LA JINETEADA;MJ LIMA REPRESENTACOES LTDA;Inativo;Vestuário;BRASIL;12;BRL;30000;Empresa;Corporativo;Liberado;C18383
18.510.069/0001-20;CASA DAS CONFECCOES LTDA;Cliente MI;CASA DAS CONFECCOES LTDA;0;27/08/2019;CALANY UNIFORMES;MJ LIMA REPRESENTACOES LTDA;Inativo;;BRASIL;12;BRL;0;;;Liberado;C18365
22.313.022/0001-44;RAW DENIM INDUSTRIA TEXTIL LTDA;Cliente MI;RAW DENIM;0;21/02/2020;RAW DENIM;MJ LIMA REPRESENTACOES LTDA;Inativo;Vestuário;BRASIL;12;BRL;30000;Confecção PL;Masculino;Liberado;C18737
04.863.699/0001-74;COM DE TEC MORIB LTDA;Cliente MI;COM DE TEC MORIB;0;04/08/2020;MORIB BEIRA RIO;MJ LIMA REPRESENTACOES LTDA;Inativo;;BRASIL;12;BRL;10000;;;Liberado;C18983
05.257.550/0001-04;TRAYMON MODAS LTDA;Cliente MI;TRAYMON;0;09/03/2018;TRAYMON;MJ LIMA REPRESENTACOES LTDA;Inativo;Vestuário;BRASIL;12;BRL;100000;Confecção PL;Masculino;Liberado;C16840
14.296.473/0001-92;MAZZONETTO E CIA LTDA;Cliente MI;MAZZONETTO E CIA LTDA;0;03/02/2021;MAZZONETTO;MJ LIMA REPRESENTACOES LTDA;Inativo;Vestuário;BRASIL;12;BRL;0;Confecção;Corporativo;Liberado;C19444
31.654.272/0001-39;MINICLO IND E COM CONF EIRELI;Cliente MI;MINICLO IND E COM DE CONF. EIRELI;0;18/03/2021;MINICLO;MJ LIMA REPRESENTACOES LTDA;Inativo;;BRASIL;12;BRL;10000;;;Liberado;C19593
10.665.501/0001-40;VR IND DE CAMISAS LTDA;Cliente MI;VR CAMISAS;0;30/03/2017;VR CAMISAS;MJ LIMA REPRESENTACOES LTDA;Ativo;;BRASIL;12;BRL;50000;;;Liberado;C15620
00.464.830/0006-84;LATREILLE & CIA LTDA.;Cliente MI;LATREILLE;0;22/08/2000;LATREILLE;MJ LIMA REPRESENTACOES LTDA;Ativo;;BRASIL;12;BRL;350000;;;Liberado;C1734
84.964.774/0001-22;SILVANA CRISTINA PISSINATI ME;Cliente MI;SILVANA C PISSINATI ME;0;20/08/2021;NSTIN COUNTRY;MJ LIMA REPRESENTACOES LTDA;Inativo;Vestuário;BRASIL;12;BRL;0;Confecção PL;Masculino;Liberado;C20221
09.443.840/0001-01;KA´LANA IND E COM DE CONFEC LTDA;Cliente MI;KA LANA IND. E COM. DE CONF LTDA EPP;0;18/10/2021;KA´LANA CONFECÇÕES;MJ LIMA REPRESENTACOES LTDA;Ativo;Vestuário;BRASIL;12;BRL;60000;Confecção PL;Masculino;Liberado;C20439
03.596.265/0001-92;ALLFAB IND E COM CONF EIRELI;Cliente MI;ALLFAB;0;19/03/2018;ALLFAB IND E COM CONF EIRELI;MJ LIMA REPRESENTACOES LTDA;Inativo;;BRASIL;12;BRL;20000;;;Liberado;C16885
84.816.867/0001-00;TECELAGEM MADRYTEX LTDA;Cliente MI;MADRYTEX;0;07/02/2022;MADRYTEX;MJ LIMA REPRESENTACOES LTDA;Inativo;;BRASIL;12;BRL;80000;;;Liberado;C20797
75.857.243/0001-40;OLIFER COMERCIO DE CONFECCOES LTDA;Cliente MI;OLHO DGUA;0;07/02/2022;CONFECÇÕES OLHO DAGUA;MJ LIMA REPRESENTACOES LTDA;Ativo;;BRASIL;12;BRL;100000;;;Liberado;C20798
31.653.275/0001-58;MVCK MODA E ESTILO LTDA;Cliente MI;MVCK MODA - USE;0;24/06/2022;USE.MVCK;MJ LIMA REPRESENTACOES LTDA;Inativo;;BRASIL;12;BRL;35000;;;Liberado;C21258
18.223.414/0001-45;ESTOQUE TEC TOLEDO EIRELI;Cliente MI;ESTOQUE TOLEDO;0;01/06/2022;ESTOQUE TOLEDO;MJ LIMA REPRESENTACOES LTDA;Inativo;;BRASIL;12;BRL;50000;;;Liberado;C21204
46.848.152/0001-40;LAUANY CAROLINA CONF LTDA;Cliente MI;LAUANYCAROLINA;0;07/07/2022;LAUANY CAROLINA CONF LTDA;MJ LIMA REPRESENTACOES LTDA;Inativo;;BRASIL;12;BRL;0;;;Liberado;C21336
45.850.137/0001-73;BRAGUILHA UNIFORMES LTDA;Cliente MI;BRAGUILHA UNIFORMES;0;01/07/2022;BRAGUILHA;MJ LIMA REPRESENTACOES LTDA;Inativo;;BRASIL;12;BRL;0;;;Liberado;C21307
38.420.153/0001-60;S GUIMARAES CONF LTDA;Cliente MI;BSG;0;10/11/2022;BSG;MJ LIMA REPRESENTACOES LTDA;Inativo;;BRASIL;12;BRL;10000;;;Liberado;C21824
43.016.734/0001-71;JU COURA JEANS LTDA;Cliente MI;JU COURA JEANS LTDA;0;20/10/2022;JU COURA JEANS;MJ LIMA REPRESENTACOES LTDA;Inativo;;BRASIL;12;BRL;7000;;;Liberado;C21769
28.026.792/0001-92;PAMPA SUL BRASIL IND DE CONF LTDA;Cliente MI;PAMPA SUL BRASIL IND DE CONF LTDA;0;02/03/2023;PAMPA SUL BRASIL;MJ LIMA REPRESENTACOES LTDA;Inativo;;BRASIL;12;BRL;0;;;Liberado;C22283
10.919.307/0001-44;TUIA BABY IND E COM DE CONF LTDA;Cliente MI;TUIA BABY;0;14/05/2018;TUIA BABY;MJ LIMA REPRESENTACOES LTDA;Inativo;Vestuário;BRASIL;12;BRL;40000;Marca;Infantil;Liberado;C17089
47.023.357/0001-59;D TRAMAS IND. DE CONF. LTDA;Cliente MI;VR CAMISAS;0;12/07/2023;VR CAMISAS;MJ LIMA REPRESENTACOES LTDA;Ativo;Vestuário;BRASIL;12;BRL;50000;Confecção PL + Marca Própria;Masculino;Liberado;C22973
85.074.300/0001-78;TEC CASCAVEL LTDA;Cliente MI;ESTOQUE CASCAVEL;0;02/08/2023;ESTOQUE CASCAVEL;MJ LIMA REPRESENTACOES LTDA;Ativo;Varejo;BRASIL;12;BRL;50000;Confecção PL;Masculino;Liberado;C23088
24.990.045/0001-19;ESTILO PROPRIO COM. DE ROUPAS LTDA;Cliente MI;DAVID MARIANO;0;08/03/2023;DAVID MARIANO;MJ LIMA REPRESENTACOES LTDA;Inativo;;BRASIL;12;BRL;30000;;;Liberado;C22326
05.217.135/0001-27;K R HEINEN E CIA LTDA;Cliente MI;KATITA KIDS;0;18/08/2017;KATITA;MJ LIMA REPRESENTACOES LTDA;Inativo;Vestuário;BRASIL;12;BRL;30000;Marca;Infantil;Liberado;C16115
50.114.233/0001-93;SILVIA MICHEL S UNIFORMES;Cliente MI;SM UNIFORMES;0;18/09/2023;SM UNIFORMES;MJ LIMA REPRESENTACOES LTDA;Ativo;Varejo;BRASIL;12;BRL;10000;Confecção PL;Feminino;Liberado;C23298
79.417.267/0001-39;IND E COM DE BORDADOS VITORIA LTDA;Cliente MI;BORDADOS VITORIA;0;11/09/2023;BORDADOS VITORIA;MJ LIMA REPRESENTACOES LTDA;Inativo;;BRASIL;12;BRL;100000;;;Liberado;C23275
04.420.922/0001-09;CAMISARIA TAJOL LTDA;Cliente MI;CAMISARIA TAJOL;0;14/11/2023;CAMISARIA TAJOL;MJ LIMA REPRESENTACOES LTDA;Inativo;;BRASIL;12;BRL;20000;;;Liberado;C23593
03.439.745/0001-40;ICB CONF LTDA;Cliente MI;DEBRISA;0;06/11/2023;DEBRISA;MJ LIMA REPRESENTACOES LTDA;Inativo;;BRASIL;12;BRL;80000;;;Liberado;C23559
01.678.183/0001-61;N A BIAVA CONF.LTDA;Cliente MI;BIAVA & BIAVA;0;30/10/2023;BIAVA & BIAVA;MJ LIMA REPRESENTACOES LTDA;Inativo;;BRASIL;12;BRL;0;;;Liberado;C23532
13.841.115/0001-50;KI BABY IND E COM DE ROUPA INF LTDA;Cliente MI;KI BABY INDUSTRIA E COMERCIO DE ROUPA INFANTIL LTDA;0;18/01/2024;KI BABY IND E COM DE ROUPA INF LTDA;MJ LIMA REPRESENTACOES LTDA;Ativo;;BRASIL;12;BRL;30000;;;Liberado;C23764
80.485.832/0001-84;DIST DE PLAST E TEC BARRIGA VERDE;Cliente MI;BARRIGA VERDE;0;12/04/2024;CASA DO ESTOFADOR;MJ LIMA REPRESENTACOES LTDA;Inativo;Vestuário;BRASIL;12;BRL;50000;Confecção PL;Masculino;Liberado;C24232
95.416.442/0001-20;COMERCIO DE CONF. KICORPO LTDA;Cliente MI;TEXAS BHIL;0;26/03/2024;TEXAS BIHIL;MJ LIMA REPRESENTACOES LTDA;Ativo;Vestuário;BRASIL;12;BRL;40000;Confecção PL;Masculino;Liberado;C24153
10.424.098/0001-68;INDUSTRIA DE CONFECCOES K-DU LTDA;Cliente MI;KDU CONF;0;10/05/2024;KDU GROUP;MJ LIMA REPRESENTACOES LTDA;Ativo;;BRASIL;12;BRL;500000;;;Liberado;C24364
38.359.537/0001-15;MJ LIMA REPRESENTACOES LTDA.;Cliente MI;MJ LIMA REPRESENTACOES LTDA;0;18/04/2024;MJ LIMA REPRESENTACOES LTDA;MJ LIMA REPRESENTACOES LTDA;Ativo;Vestuário;BRASIL;12;BRL;0;Varejo;Revenda de Tecido;Liberado;C24253
11.852.764/0001-21;J A FUSINATTO & CIA LTDA;Cliente MI;TARIFA ZERO;0;12/06/2024;TARIFA ZERO;MJ LIMA REPRESENTACOES LTDA;Inativo;;BRASIL;12;BRL;50000;;;Liberado;C24516
77.882.983/0001-61;BISCHOF E CIA LTDA;Cliente MI;CASA FAVORITA;0;12/06/2024;CASA FAVORITA;MJ LIMA REPRESENTACOES LTDA;Inativo;;BRASIL;12;BRL;50000;;;Liberado;C24511
26.342.420/0001-40;V.T OESTE IND. E CONF. LTDA;Cliente MI;V.T OESTE IND. E CONF. LTDA;0;05/06/2024;LUNETY CONFECCOES;MJ LIMA REPRESENTACOES LTDA;Inativo;;BRASIL;12;BRL;50000;;;Liberado;C24469
05.394.525/0001-72;VILEIRO INDUSTRIA DE CONFECÇÃO LTDA;Cliente MI;FATIOTA;0;12/07/2024;FATIOTA;MJ LIMA REPRESENTACOES LTDA;Inativo;Vestuário;BRASIL;12;BRL;100000;Marca;Masculino;Liberado;C24620
40.004.022/0001-44;BLAZIUS MODA MASCULINA LTDA;Cliente MI;AZUS;0;11/10/2024;AZUS MENSWEAR;MJ LIMA REPRESENTACOES LTDA;Ativo;;BRASIL;12;BRL;50000;;;Liberado;C25070
38.336.687/0001-03;BOSCO & BOSCO UNIFORMES LTDA.;Cliente MI;BOSCO & BOSCO UNIFORMES LTDA;0;07/08/2023;BOSCO UNIFORMES;MJ LIMA REPRESENTACOES LTDA;Ativo;Vestuário;BRASIL;12;BRL;20000;Confecção PL;Feminino;Liberado;C23107
28.529.466/0001-06;BTONY ATACADO E COM DE CONF LTDA;Cliente MI;BTONY;0;22/11/2024;BTONY;MJ LIMA REPRESENTACOES LTDA;Ativo;;BRASIL;12;BRL;40000;;;Liberado;C25210
42.796.703/0001-18;AZEVEDO E COMOMAMALA LTDA;Cliente MI;COMAMALA;0;21/01/2025;SAINT STORE;MJ LIMA REPRESENTACOES LTDA;Inativo;;BRASIL;12;BRL;23000;;;Liberado;C25351
52.424.544/0001-84;RETTA UNIFORMES LTDA;Cliente MI;RETTA UNIFORMES;0;27/03/2025;RETTA UNIFORMES LTDA;MJ LIMA REPRESENTACOES LTDA;Inativo;;BRASIL;12;BRL;0;;;Liberado;C25676
56.932.907/0001-43;TENUHA UNIFORMES LTDA;Cliente MI;TENUHA;0;25/03/2025;TENUHA UNIFORMES LTDA;MJ LIMA REPRESENTACOES LTDA;Inativo;;BRASIL;12;BRL;0;;;Liberado;C25671
49.908.728/0001-05;ELIS ANGELA FABIANE;Cliente MI;ELIS ANGELA FABIANE;0;11/03/2025;ELIS ANGELA FABIANE;MJ LIMA REPRESENTACOES LTDA;Ativo;Vestuário;BRASIL;12;BRL;0;Confecção PL;Feminino;Bloqueado;C25610
35.278.970/0001-38;DON GEUROTH IND E CONFECÇÕES LTDA;Cliente MI;DON GEUROTH;0;20/02/2025;DON GEUROTH;MJ LIMA REPRESENTACOES LTDA;Ativo;;BRASIL;12;BRL;100000;;;Liberado;C25534
05.318.806/0001-46;CENTRAL MAQUINAS TEXTEIS LTDA;Cliente MI;CENTRAL MAQUINAS;0;05/05/2025;CENTRAL MAQUINAS;MJ LIMA REPRESENTACOES LTDA;Inativo;;BRASIL;12;BRL;50000;;;Liberado;C25821
38.047.745/0001-89;MANTO ARTIGOS ESPORTIVOS LTDA;Cliente MI;MANTO ARTIGOS ESPORTIVOS LTDA;0;09/04/2025;MANTO SPORT;MJ LIMA REPRESENTACOES LTDA;Inativo;;BRASIL;12;BRL;30000;;;Liberado;C25724
55.382.874/0001-42;CASA DAS MALHAS PATO BRANCO LTDA;Cliente MI;CASA DAS MALHAS PATO BRANCO;0;08/04/2025;CASA DAS MALHAS PATO BRANCO;MJ LIMA REPRESENTACOES LTDA;Inativo;Varejo;BRASIL;12;BRL;20000;Confecção PL;Feminino;Liberado;C25721
20.809.834/0001-50;LASFER INDUSTRIA E COMERCIO LTDA;Cliente MI;LASFER;0;11/04/2023;LASFER SPORT;MJ LIMA REPRESENTACOES LTDA;Inativo;;BRASIL;12;BRL;100000;;;Liberado;C22502
36.577.531/0001-99;S.F. PISSINATI BIAVA -LTDA;Cliente MI;BIAVA & BIAVA;0;09/06/2025;WEST COWTRY;MJ LIMA REPRESENTACOES LTDA;Ativo;;BRASIL;12;BRL;100000;;;Liberado;C25977
33.881.627/0001-58;REINALDO JOSE MATHIAS CONFECÇÕES;Cliente MI;K R HEINEN E CIA;0;24/07/2025;KATITA KIDS;MJ LIMA REPRESENTACOES LTDA;Inativo;;BRASIL;12;BRL;40000;;;Liberado;C26175
39.749.813/0001-14;VOLB LTDA;Cliente MI;VOLB LTDA;0;18/08/2025;VOLB;MJ LIMA REPRESENTACOES LTDA;Inativo;;BRASIL;12;BRL;20000;;;Bloqueado;C26293
30.369.968/0001-50;H J P CASEMIRO-CONFEÇÕES;Cliente MI;MANU BABY;0;15/08/2025;MANU BABY;MJ LIMA REPRESENTACOES LTDA;Ativo;;BRASIL;12;BRL;30000;;;Bloqueado;C26287
51.372.078/0001-78;UNNA BRAND LTDA;Cliente MI;UNNA BRAND;0;19/09/2025;UNNA;MJ LIMA REPRESENTACOES LTDA;Inativo;;BRASIL;12;BRL;10000;;;Liberado;C26460
14.020.092/0001-86;OOZE INDUSTRIA DO VESTUARIO EIRELI;Cliente MI;OOZE;0;18/09/2025;OOZE;MJ LIMA REPRESENTACOES LTDA;Ativo;;BRASIL;12;BRL;50000;;;Bloqueado;C26440
00.464.830/0001-70;LATREILLE & CIA LTDA;Cliente MI;LATREILLE;0;08/12/2025;LATREILLE;MJ LIMA REPRESENTACOES LTDA;Inativo;;BRASIL;12;BRL;350000;;;Bloqueado;C26783
12.215.840/0001-50;FINO PANO UNIFORMES LTDA;Cliente MI;FINO PANO;0;27/01/2023;FINO PANO;MJ LIMA REPRESENTACOES LTDA;Inativo;;BRASIL;12;BRL;25000;;;Liberado;C22122
00.298.486/0001-96;GARCIA E MEIRA LTDA ME;Cliente MI;GARCIA E MEIRA;0;27/01/2026;ELEGANCE CONFECÇÕES;MJ LIMA REPRESENTACOES LTDA;Ativo;;BRASIL;12;BRL;33000;;;Liberado;C26887
43.204.401/0001-76;TIROLIRO MODA INFANTIL LTDA;Cliente MI;TIRO LIRO;0;10/12/2025;TIRO LIRO;MJ LIMA REPRESENTACOES LTDA;Inativo;;BRASIL;12;BRL;20000;;;Liberado;C26793
50.148.108/0001-02;DU BRASIL CONFECÇÕES LTDA;Cliente MI;DU BRASIL;0;13/03/2026;DU BRASIL;MJ LIMA REPRESENTACOES LTDA;Ativo;;BRASIL;12;BRL;5000;;;Liberado;C27048
00.824.812/0001-51;M B BORDADOS;Cliente MI;MB BORDADOS;0;26/02/2026;TRILHA D´GUA;MJ LIMA REPRESENTACOES LTDA;Ativo;;BRASIL;12;BRL;100000;;;Liberado;C26986
55.480.200/0001-80;PRIVATE BRAND BRAZIL LTDA;Cliente MI;PRIVATE;0;18/02/2026;PRIVATE;MJ LIMA REPRESENTACOES LTDA;Ativo;;BRASIL;12;BRL;0;;;Liberado;C26970
02.768.664/0001-20;J.C.S SONHO MEU CONFECCOES;Cliente MI;SONHO MEU;0;29/05/2015;SONHO MEU;MJ LIMA REPRESENTACOES LTDA;Ativo;;BRASIL;12;BRL;40000;;;Liberado;C13580
11.411.938/0001-10;GROW UP E COMERCIO DE CONFECÇOES LTD;Cliente MI;GROW UP;0;11/03/2013;GROW UP E COMERCIO DE CONFECCOES LTD;MJ LIMA REPRESENTACOES LTDA;Ativo;Vestuário;BRASIL;12;BRL;40000;Marca;Infantil;Liberado;C10630
52.271.069/0001-53;TRAJE DENIM CONFECÇOES LTDA;Cliente MI;TRAJE URBANO;0;08/06/2026;TRAJE URBANO;MJ LIMA REPRESENTACOES LTDA;Ativo;;BRASIL;12;BRL;20000;;;Liberado;C27316
11.234.029/0001-54;SIMONE KACIANO DE ARAUJO ME;Cliente MI;SIMONE KACIANO DE ARAUJO;0;06/10/2017;MELANIA AVIAMENTOS E TECIDOS;MJ LIMA REPRESENTACOES LTDA;Inativo;Vestuário;BRASIL;12;BRL;20000;Varejo;Revenda de Tecido;Liberado;C11961
11.284.699/0001-85;LIBERTHY IND DE CONF. LTDA ME;Cliente MI;LIBERTHY INDUSTRIA DE CONFEC LTDA;0;22/03/2017;LIBERTHY;MJ LIMA REPRESENTACOES LTDA;Inativo;Vestuário;BRASIL;12;BRL;50000;Confecção PL + Marca Própria;Masculino;Liberado;C15595
07.394.061/0001-20;NEWPRIME IND DE CONFECCOES LTDA - ME;Cliente MI;NEWPRIME;0;08/12/2016;NEWPRIME CONFECCOES;MJ LIMA REPRESENTACOES LTDA;Inativo;Varejo;BRASIL;12;BRL;40000;Confecção;Corporativo;Liberado;C15317
22.397.702/0001-93;V. DA MODA INDUSTRIA LTDA;Cliente MI;VALE DA MODA;0;03/10/2017;VALE DA MODA;MJ LIMA REPRESENTACOES LTDA;Inativo;Vestuário;BRASIL;12;BRL;60000;Confecção PL + Marca Própria;Masculino;Liberado;C16339
10.311.944/0001-33;DAZELLI CONFECCOES LTDA;Cliente MI;DAZELLI;0;24/05/2018;DAZELLI;MJ LIMA REPRESENTACOES LTDA;Ativo;Varejo;BRASIL;12;BRL;5000;Confecção;Corporativo;Liberado;C17128
85.508.588/0001-41;MARILETE MARIA MIRZERSKI DAL BEM;Cliente MI;MAVIDAL CONFECCOES;0;09/04/2018;MAVIDAL;MJ LIMA REPRESENTACOES LTDA;Ativo;Varejo;BRASIL;12;BRL;30000;Marca;Masculino;Liberado;C16978
27.380.241/0001-60;RODRIGO JOÃO ARTUZI ME;Cliente MI;ANGGELUS CAMISARIA ME LTDA;0;27/09/2018;RODRIGO JOÃO ARTUZI ME;MJ LIMA REPRESENTACOES LTDA;Inativo;Vestuário;BRASIL;12;BRL;10000;Marca;Masculino;Liberado;C17548
77.593.556/0001-63;KRINDGES INDUSTRIAL LTDA;Cliente MI;KRINDGES INDUSTRIAL LTDA;0;01/02/1998;KRINDGES;MJ LIMA REPRESENTACOES LTDA;Ativo;Vestuário;BRASIL;12;BRL;1000000;Confecção PL + Marca Própria;Masculino;Liberado;C184508
32.065.758/0001-02;BRUNA DIAS DE OLIVEIRA;Cliente MI;BRUNA DIAS DE OLIVEIRA;0;12/12/2018;DELICATA ESTUDIO CRIATIVO;MJ LIMA REPRESENTACOES LTDA;Inativo;Vestuário;BRASIL;12;BRL;0;Marca;Infantil;Liberado;C17733
00.719.663/0001-60;WOLFSTORE IND TEXTIL LTDA;Cliente MI;WOLFSTORE IND. TêXTIL LTDA.;0;08/05/2017;WOLFSTORE;MJ LIMA REPRESENTACOES LTDA;Inativo;Vestuário;BRASIL;12;BRL;50000;Varejo;Revenda de Tecido;Liberado;C3505
00.960.044/0001-63;COMECO DE VIDA IND E COM LTDA;Cliente MI;COMECO VIDA;0;22/11/2017;COMECO DE VIDA;MJ LIMA REPRESENTACOES LTDA;Inativo;Varejo;BRASIL;12;BRL;60000;Confecção PL + Marca Própria;Infantil;Liberado;C10959
00.798.969/0001-50;VALDIRENE MENDES FOGLIETTI;Cliente MI;WOLFSTORE IND. TêXTIL LTDA.;0;14/12/2017;CHIK CHIK BORDADOS;MJ LIMA REPRESENTACOES LTDA;Ativo;Vestuário;BRASIL;12;BRL;40000;Marca;Infantil;Liberado;C6847
26.495.459/0001-05;VISTOME UNIFORMES LTDA MES;Cliente MI;VISTOME UNIFORMES;0;01/11/2017;VISTOME;MJ LIMA REPRESENTACOES LTDA;Ativo;Varejo;BRASIL;12;BRL;5000;Confecção;Corporativo;Liberado;C16448
02.706.178/0001-88;CLASSE UNIFORMES PROFISSIONAIS LTDA;Cliente MI;CLASSE UNIFORMES PROFISSIONAIS;0;06/11/2014;CLASSE;MJ LIMA REPRESENTACOES LTDA;Ativo;Varejo;BRASIL;12;BRL;40000;Confecção;Corporativo;Liberado;C2237
22.581.320/0001-15;ELIANE M FERRARI ME;Cliente MI;LA GOTA;0;23/03/2018;LA GOTA;MJ LIMA REPRESENTACOES LTDA;Inativo;Varejo;BRASIL;12;BRL;30000;Confecção;Corporativo;Liberado;C16921
00.732.684/0001-16;GG VESTUARIO PROFISSIONAL LTDA;Cliente MI;GG VESTUARIO PROFISSIONAL LTDA;0;14/10/2009;GG VESTUARIO;MJ LIMA REPRESENTACOES LTDA;Ativo;Varejo;BRASIL;12;BRL;60000;Confecção;Corporativo;Liberado;C6539
06.213.832/0001-72;ADRIANO LUIZ PINTO CONFECÇOES;Cliente MI;CONFECÇÕES DOMI;0;02/10/2014;CONFECÇÕES DOMI;MJ LIMA REPRESENTACOES LTDA;Ativo;Vestuário;BRASIL;12;BRL;40000;Marca;Infantil;Liberado;C12160
